" Liczba punktów, jaką uzyskali uczniowie przyjęci do szkół ponadgimnazjalnych w roku szkolnym 2018/2019 ",,,,,,
Dane z 12.07.2018 r. (listy przyjętych w rekrutacji zasadniczej),,,,,,
,,,,,,
Dzielnica szkoły,typ szkoły,Nazwa szkoły,Grupa rekrutacyjna/oddział,Minimum,Średnia,Maksimum
Mokotów,LO,VI Liceum Ogólnokształcące im. Tadeusza Reytana,"1/6 [O] ang-biol-chem (ang-niem*,fra*,ros)","162,8","165,97","178,6"
Mokotów,LO,VI Liceum Ogólnokształcące im. Tadeusza Reytana,"1/7 [O] mat-fiz-ang (ang-niem*,fra*,ros)","165,2","167,66",175
Mokotów,LO,X Liceum Ogólnokształcące im. Królowej Jadwigi,1A1 [O] pol-hist-wos (ang-fra),"144,8","148,77","155,4"
Mokotów,LO,X Liceum Ogólnokształcące im. Królowej Jadwigi,1A2 [O] pol-hist-wos (ang-hisz),149,"154,35","165,6"
Mokotów,LO,X Liceum Ogólnokształcące im. Królowej Jadwigi,1B1 [O] mat-fiz-inf (ang-hisz),"162,4","165,75","172,8"
Mokotów,LO,X Liceum Ogólnokształcące im. Królowej Jadwigi,1B2 [O] mat-fiz-inf (ang-niem),"162,4","167,11","171,8"
Mokotów,LO,X Liceum Ogólnokształcące im. Królowej Jadwigi,1C1 [O] ang-wos-filoz (ang-hisz),150,"154,55","163,6"
Mokotów,LO,X Liceum Ogólnokształcące im. Królowej Jadwigi,1C2 [O] ang-wos-filoz (ang-fra),"147,6","152,60","160,6"
Mokotów,LO,X Liceum Ogólnokształcące im. Królowej Jadwigi,1D1 [O] mat-geogr-niem (ang-niem),"157,4","159,10","162,4"
Mokotów,LO,X Liceum Ogólnokształcące im. Królowej Jadwigi,1D2 [O] mat-geogr-ros (ang-ros*),"149,6","155,41","162,8"
Mokotów,LO,X Liceum Ogólnokształcące im. Królowej Jadwigi,1F1 [O] biol-chem (ang-ros),"158,8","162,25","168,6"
Mokotów,LO,X Liceum Ogólnokształcące im. Królowej Jadwigi,1F2 [O] biol-chem (ang-niem),161,"164,43","169,6"
Mokotów,LO,XLII Liceum Ogólnokształcące im. Marii Konopnickiej,"1A [O] mat-fiz (ang-niem*,hisz*)",137,"145,81","163,8"
Mokotów,LO,XLII Liceum Ogólnokształcące im. Marii Konopnickiej,1B [O] hist-pol (ang-hisz*),"128,4","135,93",154
Mokotów,LO,XLII Liceum Ogólnokształcące im. Marii Konopnickiej,"1C [O] biol-chem (ang-niem*,wlo*)","143,2","149,89","164,4"
Mokotów,LO,XLII Liceum Ogólnokształcące im. Marii Konopnickiej,"1D [O] geogr-ang-wos (ang-niem*,wlo*)",127,"137,07",154
Mokotów,LO,XLII Liceum Ogólnokształcące im. Marii Konopnickiej,"1E [O] geogr-mat-ang (ang-niem*,hisz*)","140,6","145,81","156,8"
Mokotów,LO,XLIII Liceum Ogólnokształcące im. Kazimierza Wielkiego,1a1 [O] geogr-ang (ang*-fra*),"89,4","107,73","136,2"
Mokotów,LO,XLIII Liceum Ogólnokształcące im. Kazimierza Wielkiego,1a2 [O] geogr-ang (ang*-hisz*),"113,6","128,30","143,4"
Mokotów,LO,XLIII Liceum Ogólnokształcące im. Kazimierza Wielkiego,1a3 [O] geogr-ang (ang*-niem*),"106,2","114,55","123,8"
Mokotów,LO,XLIII Liceum Ogólnokształcące im. Kazimierza Wielkiego,1b1 [O] geogr-ang (ang*-fra*),"95,8","110,33",130
Mokotów,LO,XLIII Liceum Ogólnokształcące im. Kazimierza Wielkiego,1b2 [O] geogr-ang (ang*-hisz*),120,"129,06","164,6"
Mokotów,LO,XLIII Liceum Ogólnokształcące im. Kazimierza Wielkiego,1b3 [O] geogr-ang (ang*-niem*),"107,2","122,77","151,4"
Mokotów,LO,XLIII Liceum Ogólnokształcące im. Kazimierza Wielkiego,1c1 [O] hist-ang (ang*-fra*),101,"124,80","147,6"
Mokotów,LO,XLIII Liceum Ogólnokształcące im. Kazimierza Wielkiego,1c2 [O] hist-ang (ang*-hisz*),"113,4","123,83","141,2"
Mokotów,LO,XLIII Liceum Ogólnokształcące im. Kazimierza Wielkiego,1c3 [O] hist-ang (ang*-niem*),"110,2","120,28","136,6"
